City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Saint-Philippe,RE,-21.3585,55.7679,82.22,85,56,10.02,light rain,2022-01-04 15:07:54
1,Krasnoselkup,RU,65.7,82.4667,18.72,95,100,19.46,light snow,2022-01-04 15:07:55
2,Husavik,IS,66.0449,-17.3389,13.57,92,70,12.86,broken clouds,2022-01-04 15:03:55
3,Boyolangu,ID,-8.1181,111.8935,76.53,81,100,1.36,overcast clouds,2022-01-04 15:07:55
4,Lamballe,FR,48.4676,-2.5144,44.71,90,98,8.99,overcast clouds,2022-01-04 15:07:56
5,Bluff,NZ,-46.6,168.3333,60.8,95,100,6.2,overcast clouds,2022-01-04 15:07:56
6,Mataura,NZ,-46.1927,168.8643,60.48,99,97,0.6,overcast clouds,2022-01-04 15:07:56
7,Qaanaaq,GL,77.484,-69.3632,-4.54,56,60,8.84,broken clouds,2022-01-04 15:07:57
8,Ushuaia,AR,-54.8,-68.3,46.02,61,75,31.07,light rain,2022-01-04 15:07:57
9,Henties Bay,NA,-22.116,14.2845,65.86,75,25,9.91,scattered clouds,2022-01-04 15:07:57
10,Rikitea,PF,-23.1203,-134.9692,76.39,74,100,4.59,light rain,2022-01-04 15:07:58
11,Bredasdorp,ZA,-34.5322,20.0403,69.28,52,41,15.35,scattered clouds,2022-01-04 15:07:58
12,Maragogi,BR,-9.0122,-35.2225,84.63,63,77,12.01,broken clouds,2022-01-04 15:07:58
13,Punta Arenas,CL,-53.15,-70.9167,48.31,37,75,18.41,broken clouds,2022-01-04 15:07:59
14,Nhulunbuy,AU,-12.2333,136.7667,84.81,84,100,10.36,overcast clouds,2022-01-04 15:07:59
15,Vaini,TO,-21.2,-175.2,80.76,89,75,13.8,light rain,2022-01-04 15:07:59
16,Emerald,AU,-23.5333,148.1667,79.34,35,22,7.27,few clouds,2022-01-04 15:08:00
17,Albany,US,42.6001,-73.9662,24.8,80,3,2.82,clear sky,2022-01-04 15:08:00
18,Mogadishu,SO,2.0371,45.3438,80.15,84,100,15.48,overcast clouds,2022-01-04 15:08:00
19,Nikolskoye,RU,59.7035,30.7861,24.8,96,100,9.53,light snow,2022-01-04 15:08:01
20,Morong,PH,14.5115,121.2393,78.15,79,25,9.17,scattered clouds,2022-01-04 15:08:01
21,Cape Town,ZA,-33.9258,18.4232,78.12,53,16,8.01,few clouds,2022-01-04 15:04:55
22,Saldanha,ZA,-33.0117,17.9442,66.02,75,29,15.08,scattered clouds,2022-01-04 15:08:02
23,Gagino,RU,55.2314,45.0339,-8.48,100,73,2.21,broken clouds,2022-01-04 15:08:02
24,Vysokogornyy,RU,50.1167,139.15,-19.59,99,100,4.65,overcast clouds,2022-01-04 15:08:03
25,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,95,7.29,overcast clouds,2022-01-04 15:08:03
26,Saskylakh,RU,71.9167,114.0833,-44.1,96,16,8.32,few clouds,2022-01-04 15:07:12
27,Terrace,CA,54.5163,-128.6035,-3.57,88,100,3.91,overcast clouds,2022-01-04 15:08:04
28,Te Anau,NZ,-45.4167,167.7167,54.7,94,79,0.6,broken clouds,2022-01-04 15:08:04
29,Asyut,EG,27.181,31.1837,63.79,42,0,8.57,clear sky,2022-01-04 15:07:56
30,Avarua,CK,-21.2078,-159.775,75.25,88,20,3.44,light rain,2022-01-04 15:08:05
31,Spencer,US,43.1414,-95.1444,32.94,75,100,16.49,overcast clouds,2022-01-04 15:08:05
32,Manta,EC,-0.95,-80.7333,75.76,72,100,8.08,overcast clouds,2022-01-04 15:07:41
33,Busselton,AU,-33.65,115.3333,67.05,60,0,17.36,clear sky,2022-01-04 15:08:06
34,Bredy,RU,52.4153,60.3411,5.92,92,100,11.18,overcast clouds,2022-01-04 15:08:06
35,Bar Harbor,US,44.3876,-68.2039,14.61,70,1,8.05,clear sky,2022-01-04 15:08:07
36,Charlestown,AU,-32.95,151.6667,73.72,92,23,1.99,light rain,2022-01-04 15:08:07
37,Ponta Do Sol,PT,32.6667,-17.1,69.12,65,75,8.57,broken clouds,2022-01-04 15:03:37
38,Luderitz,NA,-26.6481,15.1594,73.33,55,0,24.85,clear sky,2022-01-04 15:08:08
39,Khatanga,RU,71.9667,102.5,-41.12,90,7,8.88,clear sky,2022-01-04 15:08:08
40,Ronne,DK,55.1009,14.7066,40.91,100,75,9.22,light rain,2022-01-04 15:08:08
41,Bilma,NE,18.6853,12.9164,69.46,24,100,11.39,overcast clouds,2022-01-04 15:08:09
42,Baturaja,ID,-4.1333,104.1667,74.35,96,100,2.42,moderate rain,2022-01-04 15:05:12
43,Abilene,US,32.4487,-99.7331,45.5,25,1,8.01,clear sky,2022-01-04 15:08:09
